Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Interactive Brokers,IBKR,"$79,318","$46,490","$1,488",-,-,"$127,296",-,-,-,"$1,127","$1,127","$128,423","$114,356",-,-,-,"$114,356",$1,"$1,852",$8,-,"$14,067","$128,423",2023
Interactive Brokers,IBKR,"$71,162","$42,570",$485,-,-,"$114,217",-,-,-,$926,$926,"$115,143","$103,528",-,-,-,"$103,528",$1,"$1,294",$-22,-,"$11,615","$115,143",2022
Interactive Brokers,IBKR,"$48,696","$58,833",$673,-,-,"$108,202",-,-,-,$911,$911,"$109,113","$98,891",-,-,-,"$98,891",$1,$953,$4,-,"$10,222","$109,113",2021
Interactive Brokers,IBKR,"$53,764","$40,691",$630,-,-,"$95,085",-,-,-,$594,$594,"$95,679","$86,676",-,-,-,"$86,676",$1,$683,$26,-,"$9,003","$95,679",2020
Interactive Brokers,IBKR,"$37,133","$32,147","$1,916",-,-,"$71,196",-,-,-,$480,$480,"$71,676","$63,736",-,-,-,"$63,736",$1,$520,-,-,"$7,940","$71,676",2019
Interactive Brokers,IBKR,"$30,268","$27,864","$2,119",-,-,"$60,251",-,-,-,$296,$296,"$60,547","$53,391",-,-,-,"$53,391",$1,$390,$-4,-,"$7,156","$60,547",2018
Interactive Brokers,IBKR,"$26,956","$30,760","$3,154",-,-,"$60,870",-,-,-,$292,$292,"$61,162","$54,729",-,-,-,"$54,729",$1,$251,$9,-,"$6,433","$61,162",2017
Interactive Brokers,IBKR,"$29,682","$20,506","$4,037",-,-,"$54,225",-,-,-,$448,$448,"$54,673","$48,853",-,-,-,"$48,853",$1,$203,$-2,-,"$5,820","$54,673",2016
Interactive Brokers,IBKR,"$27,029","$17,805","$3,420",-,-,"$48,254",-,-,-,$480,$480,"$48,734","$43,390",-,-,-,"$43,390",$1,$145,$2,-,"$5,344","$48,734",2015
Interactive Brokers,IBKR,"$20,719","$18,219","$3,978",-,-,"$42,916",-,-,-,$469,$469,"$43,385","$38,200",-,-,-,"$38,200",$1,$121,$12,-,"$5,185","$43,385",2014
