Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Eli Lilly,LLY,"$2,927.7","$11,336.2","$5,772.8","$5,540.8",$149.5,"$25,727","$12,913.6","$3,052.2","$11,846.3","$4,989.9","$38,279.3","$64,006.3","$27,293.2","$18,320.8","$6,089.8","$25,849.4","$53,142.6",$593.6,"$10,312.3","$-4,327","$-3,013.2","$10,863.7","$64,006.3",2023
Eli Lilly,LLY,"$2,211.8","$8,558.9","$4,309.7","$2,946.8",$7.3,"$18,034.5","$10,144","$2,901.8","$11,279.6","$4,337","$31,455.3","$49,489.8","$17,138.2","$14,737.5","$5,533.6","$21,576.2","$38,714.4",$594.1,"$10,042.6","$-3,844.6","$-3,013.2","$10,775.4","$49,489.8",2022
Eli Lilly,LLY,"$3,908.6","$8,127.2","$3,886","$2,530.6",-,"$18,452.4","$8,985.1","$3,212.6","$11,583.9","$4,082.7","$30,353.6","$48,806","$15,052.7","$15,346.4","$5,564.3","$24,598.5","$39,651.2",$596.3,"$8,958.5","$-4,343.1","$-3,013.2","$9,154.8","$48,806",2021
Eli Lilly,LLY,"$3,681.3","$6,929","$3,980.3","$2,871.5",-,"$17,462.1","$8,681.9","$2,966.8","$11,216.5","$3,475.4","$29,171","$46,633.1","$12,481.6","$16,586.6","$5,545.3","$28,326.3","$40,807.9",$598.2,"$7,830.2","$-6,496.4","$-3,013.2","$5,825.2","$46,633.1",2020
Eli Lilly,LLY,"$2,438.5","$5,541.5","$3,190.7","$2,538.9",-,"$13,709.6","$7,872.9","$1,962.4","$10,297.4","$2,871.2","$25,576.5","$39,286.1","$11,775.2","$13,817.9","$5,108.2","$24,811.8","$36,587",$598.8,"$4,920.4","$-6,523.6","$-3,013.2","$2,699.1","$39,286.1",2019
Eli Lilly,LLY,"$7,408.9","$5,776.8","$3,098.1","$2,036.7",-,"$20,549.6","$7,996.1","$2,005.4","$2,434.6","$1,824.9","$23,358.8","$43,908.4","$11,888.1","$9,196.4","$5,057.6","$21,111.2","$32,999.3",$661,"$11,395.9","$-5,729.2","$-3,013.2","$10,909.1","$43,908.4",2018
Eli Lilly,LLY,"$8,034.1","$5,262.2","$4,458.3","$1,447.5",-,"$19,202.1","$8,826.5","$5,678.8","$8,399.3","$1,707.9","$25,778.9","$44,981","$14,535.9","$9,940.5","$5,322.8","$18,777.2","$33,313.1",$687.9,"$13,894.1","$-5,718.6","$-3,013.2","$11,667.9","$44,981",2017
Eli Lilly,LLY,"$6,038.6","$4,766.3","$3,561.9",$734.6,-,"$15,101.4","$8,252.6","$5,207.5","$8,330.6","$1,913.8","$23,704.5","$38,805.9","$10,986.6","$8,367.8","$2,917.1","$13,738.8","$24,725.4",$688.5,"$16,046.3","$-5,274","$-3,013.2","$14,080.5","$38,805.9",2016
Eli Lilly,LLY,"$4,451.8","$4,071.6","$3,445.8",$604.4,-,"$12,573.6","$8,053.5","$3,646.6","$9,074.699","$2,220.5","$22,995.3","$35,568.9","$8,229.6","$7,972.4","$2,616.3","$12,749","$20,978.6",$691.3,"$16,011.8","$-4,580.7","$-3,013.2","$14,590.3","$35,568.9",2015
Eli Lilly,LLY,"$4,827","$3,801.3","$2,740",$560,-,"$11,928.3","$7,963.9","$4,568.9","$4,642.3","$7,204.2","$24,379.3","$36,307.6","$9,741","$5,332.8","$3,282.8","$11,178.5","$20,919.5",$694.6,"$16,482.7","$-3,991.8","$-3,013.2","$15,388.1","$36,307.6",2014
Broadcom,AVGO,"$14,189","$3,154","$1,898",-,"$1,606","$20,847","$2,154",-,"$47,520","$2,340","$52,014","$72,861","$7,405","$37,621","$3,847","$41,468","$48,873",-,"$2,682",$207,-,"$23,988","$72,861",2023
Broadcom,AVGO,"$12,416","$2,958","$1,925",-,"$1,205","$18,504","$2,223",-,"$50,725","$1,797","$54,745","$73,249","$7,052","$39,075","$4,413","$43,488","$50,540",-,"$1,604",$-54,-,"$22,709","$73,249",2022
Broadcom,AVGO,"$12,163","$2,071","$1,297",-,"$1,055","$16,586","$2,348",-,"$54,824","$1,812","$58,984","$75,570","$6,281","$39,440","$4,860","$44,327","$50,608",-,$748,$-116,-,"$24,962","$75,570",2021
Broadcom,AVGO,"$7,618","$2,297","$1,003",-,$977,"$11,895","$2,509",-,"$60,229","$1,300","$64,038","$75,933","$6,371","$40,235","$5,426","$45,688","$52,059",-,-,$-108,-,"$23,874","$75,933",2020
Broadcom,AVGO,"$5,055","$3,259",$874,-,$729,"$9,917","$2,565",-,"$54,268",$743,"$57,576","$67,493","$6,899","$30,011","$5,613","$35,653","$42,552",-,-,$-140,-,"$24,941","$67,493",2019
Broadcom,AVGO,"$4,292","$3,325","$1,124",-,$366,"$9,107","$2,635",-,"$37,675",$707,"$41,017","$50,124","$2,338","$17,493","$3,636","$21,129","$23,467",-,"$3,487",$-115,-,"$26,657","$50,124",2018
Broadcom,AVGO,"$11,204","$2,448","$1,447",-,$724,"$15,823","$2,599",-,"$35,538",$458,"$38,595","$54,418","$2,529","$17,431","$11,272","$28,703","$31,232","$20,505",$-129,$-91,-,"$23,186","$54,418",2017
Broadcom,AVGO,"$3,097","$2,181","$1,400",-,$447,"$7,125","$2,509",-,"$39,800",$532,"$42,841","$49,966","$3,078","$13,188","$11,293","$25,012","$28,090","$19,241",$-215,$-134,-,"$21,876","$49,966",2016
Broadcom,AVGO,"$1,822","$1,019",$524,-,$394,"$3,759","$1,460",-,"$4,951",$345,"$6,756","$10,515","$1,119","$3,826",$381,"$4,682","$5,801","$2,547","$2,240",$-73,-,"$4,714","$10,515",2015
Broadcom,AVGO,"$1,604",$782,$519,-,$930,"$3,835","$1,158",-,"$5,213",$285,"$6,656","$10,491","$1,016","$5,463",$263,"$6,232","$7,248","$2,009","$1,284",$-50,-,"$3,243","$10,491",2014
Novo Nordisk,NVO,"$4,729.745","$10,927.9","$4,618.957",-,-,"$20,276.6","$13,207.54",$241.468,"$8,770.951",-,"$25,386.77","$45,663.37","$24,633.91","$2,980.666",$992.878,"$5,556.804","$30,190.71",$65.485,"$15,222.62",-,$185.275,"$15,472.66","$45,663.37",2023
Novo Nordisk,NVO,"$3,724.222","$8,142.708","$3,453.341",-,-,"$15,320.27","$9,440.613",$190.169,"$7,280.505",-,"$18,841.72","$34,161.99","$17,125.1","$3,443.429",$664.104,"$5,215.27","$22,340.37",$64.57,"$11,411.12",-,$346.778,"$11,821.62","$34,161.99",2022
Novo Nordisk,NVO,"$3,050.743","$7,445.721","$3,121.701",-,-,"$13,618.16","$8,808.094",$229.263,"$6,868.506",-,"$17,328.06","$30,946.22","$15,833","$2,062.095",$753.179,"$3,857.539","$19,690.54",$73.504,"$11,455.84",-,$-272.697,"$11,255.69","$30,946.22",2021
Novo Nordisk,NVO,"$1,954.372","$4,930.589","$2,839.715",-,$357.262,"$10,081.94","$7,701.211",$252.474,"$3,164.652",-,"$12,120.11","$22,202.05","$10,765.82",$443.82,$693.383,"$1,734.837","$12,500.66",$72.004,"$9,770.177",-,$-139.565,"$9,701.39","$22,202.05",2020
Novo Nordisk,NVO,"$2,347.884","$4,369.885","$2,644.386",-,-,"$9,362.154","$7,577.595",$271.019,$874.667,-,"$9,467.084","$18,829.24","$8,841.552",$451.049,$691.489,"$1,354.496","$10,196.05",$71.952,"$8,666.769",-,$-104.031,"$8,633.19","$18,829.24",2019
Novo Nordisk,NVO,"$2,422.242","$4,111.328","$2,497.774",-,-,"$9,031.345","$6,405.134",$271.092,$786.671,-,"$7,905.236","$16,936.58","$8,281.676",-,$518.637,$728.721,"$9,010.397",$74.921,"$8,165.777",-,$-312.833,"$7,926.183","$16,936.58",2018
Novo Nordisk,NVO,"$3,213.596","$3,577.397","$2,335.159",-,-,"$9,126.152","$5,354.02",$267.648,$505.068,-,"$6,421.573","$15,547.72","$7,147.807",-,$501.574,$833.02,"$7,980.826",$75.95,"$7,439.606",-,$53.013,"$7,566.898","$15,547.72",2017
Novo Nordisk,NVO,"$3,154.481","$3,595.674","$2,131.073",-,-,"$8,881.228","$4,484.6",$326.474,$403.3,-,"$5,613.068","$14,494.29","$7,048.99",-,$500.782,$718.332,"$7,767.322",$75.786,"$6,852.095",-,$-199.57,"$6,726.974","$14,494.29",2016
Novo Nordisk,NVO,"$3,090.427","$3,216.014","$1,898.39",-,-,"$8,204.832","$3,801.096",$319.92,$321.11,-,"$5,454.859","$13,659.69","$6,081.902",-,$411.432,$588.802,"$6,670.704",$77.376,"$6,966.221",-,$-53.122,"$6,988.987","$13,659.69",2015
Novo Nordisk,NVO,"$2,841.21","$3,387.878","$2,024.953",-,-,"$8,254.042","$4,125.149",$152.625,$245.697,-,"$5,486.113","$13,740.15","$6,006.749",-,$363.91,$548.986,"$6,555.734",$94.499,"$7,359.689",-,$-267.807,"$7,184.42","$13,740.15",2014
Tesla,TSLA,"$29,094","$3,508","$13,626","$3,388",-,"$49,616","$29,725",-,$431,"$9,944","$57,002","$106,618","$28,748","$2,857","$8,153","$14,503","$43,251",$3,"$27,882",$-143,-,"$63,367","$106,618",2023
Tesla,TSLA,"$22,185","$2,952","$12,839","$2,941",-,"$40,917","$23,548",-,$409,"$9,538","$41,421","$82,338","$26,709","$1,597","$5,330","$10,140","$36,849",$3,"$12,885",$-361,-,"$45,489","$82,338",2022
Tesla,TSLA,"$17,707","$1,913","$5,757","$1,723",-,"$27,100","$18,884",-,$457,"$9,163","$35,031","$62,131","$19,705","$5,245","$3,546","$11,411","$31,116",$3,$329,$54,-,"$31,015","$62,131",2021
Tesla,TSLA,"$19,384","$1,886","$4,101","$1,346",-,"$26,717","$12,747",-,$520,"$7,515","$25,431","$52,148","$14,248","$9,607","$3,330","$14,825","$29,073",$1,"$-5,399",$363,-,"$23,075","$52,148",2020
Tesla,TSLA,"$6,268","$1,324","$3,552",$959,-,"$12,103","$10,396",-,$537,"$7,608","$22,206","$34,309","$10,667","$11,634","$2,691","$16,175","$26,842",$1,"$-6,083",$-36,-,"$7,467","$34,309",2019
Tesla,TSLA,"$3,879",$949,"$3,113",$366,-,"$8,307","$11,330",-,$350,"$7,241","$21,433","$29,740","$9,993","$9,404","$3,039","$13,990","$23,983",-,"$-5,318",$-8,-,"$5,757","$29,740",2018
Tesla,TSLA,"$3,523.237",$515.381,"$2,263.537",$268.365,-,"$6,570.52","$10,027.52",-,$421.739,"$7,062.335","$22,084.85","$28,655.37","$7,674.67","$9,418.39","$4,752.192","$15,746.12","$23,420.78",$0.169,"$-4,974.299",$33.348,-,"$5,234.588","$28,655.37",2017
Tesla,TSLA,"$3,498.735",$499.142,"$2,067.454",$194.465,-,"$6,259.796","$5,982.957",-,$376.145,"$6,404.796","$16,404.28","$22,664.08","$5,827.005","$5,879.12","$4,201.036","$11,298.98","$17,125.99",$0.161,"$-2,997.237",$-23.74,-,"$5,538.086","$22,664.08",2016
Tesla,TSLA,"$1,219.536",$168.965,"$1,277.838",$115.667,-,"$2,782.006","$3,403.334",-,$12.816,$78.38,"$5,285.933","$8,067.939","$2,811.035","$2,068.378","$1,658.717","$4,173.2","$6,984.235",$0.131,"$-2,322.323",$-3.556,-,"$1,083.704","$8,067.939",2015
Tesla,TSLA,"$1,923.66",$226.604,$953.675,$76.134,-,"$3,180.073","$1,829.267",-,-,$54.583,"$2,650.594","$5,830.667","$2,107.166","$1,876.981",$642.539,"$2,811.791","$4,918.957",$0.126,"$-1,433.66",$-0.022,-,$911.71,"$5,830.667",2014
JPMorgan Chase,JPM,"$1,440,910",-,-,-,-,"$2,849,559","$30,157","$771,988","$64,381","$159,308","$1,025,834","$3,875,393","$3,132,670","$391,825",-,"$414,845","$3,547,515","$4,105","$332,901","$-10,443",-,"$327,878","$3,875,393",2023
JPMorgan Chase,JPM,"$1,336,625",-,-,-,-,"$2,577,735","$27,734","$816,531","$60,859","$182,884","$1,088,008","$3,665,743","$3,064,936","$295,865",-,"$308,475","$3,373,411","$4,105","$296,456","$-17,341",-,"$292,332","$3,665,743",2022
JPMorgan Chase,JPM,"$1,436,107",-,-,-,-,"$2,600,005","$27,070","$878,303","$56,691","$181,498","$1,143,562","$3,743,567","$3,137,685","$301,005",-,"$311,755","$3,449,440","$4,105","$272,268",$-84,-,"$294,127","$3,743,567",2021
JPMorgan Chase,JPM,"$1,327,019",-,-,-,-,"$2,402,047","$27,109","$750,634","$53,428","$151,539","$982,710","$3,384,757","$2,806,140","$281,685",-,"$299,263","$3,105,403","$4,105","$236,990","$7,986",-,"$279,354","$3,384,757",2020
JPMorgan Chase,JPM,"$882,475",-,-,-,-,"$1,939,833","$25,813","$537,997","$53,341","$130,395","$747,546","$2,687,379","$2,116,710","$291,498",-,"$309,339","$2,426,049","$4,105","$223,211","$1,569",$-21,"$261,330","$2,687,379",2019
JPMorgan Chase,JPM,"$1,014,095",-,-,-,-,"$2,058,404","$14,934","$373,823","$54,349","$121,022","$564,128","$2,622,532","$2,063,745","$282,031",-,"$302,272","$2,366,017","$4,105","$199,202","$-1,507",$-21,"$256,515","$2,622,532",2018
JPMorgan Chase,JPM,"$1,011,570",-,-,-,-,"$1,996,392","$14,159","$355,070","$54,392","$113,587","$537,208","$2,533,600","$1,967,746","$284,080",-,"$310,161","$2,277,907","$4,105","$177,676",$-119,$-21,"$255,693","$2,533,600",2017
JPMorgan Chase,JPM,"$991,732",-,-,-,-,"$1,925,051","$14,131","$385,468","$54,246","$112,076","$565,921","$2,490,972","$1,902,490","$295,245",-,"$334,292","$2,236,782","$4,105","$162,440","$-1,175",$-21,"$254,190","$2,490,972",2016
JPMorgan Chase,JPM,"$916,919",-,-,-,-,"$1,787,268","$14,362","$389,548","$54,948","$105,572","$564,430","$2,351,698","$1,752,490","$309,756",-,"$351,635","$2,104,125","$4,105","$146,420",$192,$-21,"$247,573","$2,351,698",2015
JPMorgan Chase,JPM,"$1,127,099",-,-,-,-,"$1,940,329","$15,133","$458,439","$56,275","$102,098","$631,945","$2,572,274","$1,981,626","$306,601",-,"$358,921","$2,340,547","$4,105","$129,977","$2,189",$-21,"$231,727","$2,572,274",2014
Walmart,WMT,"$9,867","$8,796","$54,892","$3,322",-,"$76,877","$110,810",-,"$28,113","$17,071","$175,522","$252,399","$92,415","$41,841",-,"$69,635","$162,050",$805,"$89,814","$-11,302",-,"$90,349","$252,399",2023
Walmart,WMT,"$8,625","$7,933","$56,576","$2,521",-,"$75,655","$100,760",-,"$28,174","$20,134","$167,542","$243,197","$92,198","$39,492",-,"$67,245","$159,443",$808,"$83,135","$-11,680",-,"$83,754","$243,197",2022
Walmart,WMT,"$14,760","$8,280","$56,511","$1,519",-,"$81,070","$94,515",-,"$29,014","$22,152","$163,790","$244,860","$87,379","$39,107",-,"$65,590","$152,969",$276,"$86,904","$-8,766",-,"$91,891","$244,860",2021
Walmart,WMT,"$17,741","$6,516","$44,949","$20,861",-,"$90,067","$92,201",-,"$28,983","$23,598","$162,429","$252,496","$92,645","$45,041",-,"$72,320","$164,965",$282,"$88,763","$-11,766",-,"$87,531","$252,496",2020
Walmart,WMT,"$9,465","$6,284","$44,435","$1,622",-,"$61,806","$105,208",-,"$31,073","$16,567","$174,689","$236,495","$77,790","$48,021",-,"$77,153","$154,943",$284,"$83,943","$-12,805",-,"$81,552","$236,495",2019
Walmart,WMT,"$7,722","$6,283","$44,269","$3,623",-,"$61,897","$104,317",-,"$31,181","$14,822","$157,398","$219,295","$77,477","$50,203",-,"$62,184","$139,661",$288,"$80,785","$-11,542",-,"$79,634","$219,295",2018
Walmart,WMT,"$6,756","$5,614","$43,783","$3,511",-,"$59,664","$107,675",-,"$18,242","$11,798","$144,858","$204,522","$78,521","$36,825",-,"$45,179","$123,700",$295,"$85,107","$-10,181",-,"$80,822","$204,522",2017
