Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Union Pacific,UNP,0.8124,0.6781,2.2031,57.1914,37.655,37.655,47.2656,34.1349,26.448,0.3593,13.8964,11.6348,31.3713,43.1363,43.1363,9.5022,13.8843,24.2544,-1.2716,-1.3799,2023
Union Pacific,UNP,0.7159,0.7224,2.7399,57.6844,39.8673,39.8673,48.8965,36.4704,28.1327,0.3801,14.2051,13.1544,27.7473,57.5352,57.5352,10.6923,15.9732,19.8614,1.2223,-0.0993,2022
Union Pacific,UNP,0.6182,0.6606,2.0994,62.2867,42.827,42.827,52.9536,38.8828,29.9165,0.3432,13.2416,12.662,28.8264,46.0631,46.0631,10.2684,15.6337,22.1667,1.2054,0.8164,2021
Union Pacific,UNP,1.0098,0.6021,1.5762,62.7861,40.1065,40.1065,51.4207,35.7344,27.3844,0.313,11.3934,12.9787,28.1229,31.5426,31.5426,8.5724,12.551,25.2595,0.3832,1.0779,2020
Union Pacific,UNP,0.795,0.5691,1.3901,59.0289,39.4048,39.4048,49.613,35.6873,27.2665,0.352,11.8429,13.61,26.8185,32.6512,32.6512,9.5974,14.0691,26.1927,0.677,0.3646,2019
Union Pacific,UNP,0.8999,0.5061,1.0964,56.0704,37.3029,37.3029,46.8991,33.9042,26.13,0.386,13.5175,13.0097,28.056,29.2122,29.2122,10.0867,14.4288,28.1674,2.497,1.8533,2018
Union Pacific,UNP,1.017,0.3938,0.6817,56.7185,38.1638,38.1638,48.0744,35.9322,50.4332,0.3674,12.2737,14.2264,25.6565,43.0962,43.0962,18.531,26.1268,31.8292,0.0106,0.2225,2017
Union Pacific,UNP,0.9879,0.4169,0.7529,57.2439,36.3222,36.3222,46.5423,33.9301,21.2276,0.3579,11.8912,15.8514,23.0264,21.2372,21.2372,7.5972,12.3841,24.4317,0.5605,1.5791,2016
Union Pacific,UNP,1.2882,0.3966,0.686,56.0125,36.9138,36.9138,46.1376,35.0983,21.8769,0.3995,13.0367,16.0863,22.6901,23.0509,23.0509,8.7399,13.9089,24.3779,0.2517,-0.1383,2015
Union Pacific,UNP,1.1692,0.3407,0.5386,53.4226,36.4891,36.4891,44.4264,34.7799,21.5941,0.458,15.6924,14.8901,24.5129,24.4467,24.4467,9.8908,16.1165,23.9867,0.8708,-0.1512,2014
S&P Global,SPGI,0.8397,0.2497,0.3341,66.8641,32.1677,32.1677,41.3139,29.3751,21.013,0.2063,-,4.4222,82.539,8.4344,-16.1188,4.7748,6.3288,106.5217,3.461,3.292,2023
S&P Global,SPGI,0.9447,0.2273,0.3004,66.4341,44.2179,44.2179,53.2779,42.0535,29.0493,0.181,-,4.4832,81.4158,9.6554,-21.5097,5.7005,7.4608,110.8723,-6.7074,-6.842,2022
S&P Global,SPGI,2.3093,0.6613,1.9525,73.7254,50.8738,50.8738,53.0192,50.1868,36.4469,0.5522,-,5.0285,72.5865,154.8647,-121.5723,21.7157,52.4514,8.7427,0.1465,0.3156,2021
S&P Global,SPGI,1.6694,0.878,7.1979,71.8624,48.6025,48.6025,51.3706,43.3754,31.4297,0.5936,-,4.6717,78.1302,443.7829,-56.1116,20.2122,54.1337,2.3693,3.4902,3.6421,2020
S&P Global,SPGI,1.5234,0.8805,7.3657,70.5031,48.1564,48.1564,51.2017,43.7379,31.6913,0.5903,-,4.2479,85.924,429.6642,-51.6021,20.2943,51.3604,2.1967,3.0917,3.0722,2019
S&P Global,SPGI,1.3639,0.8426,5.3538,70.6296,44.5829,44.5829,47.8747,42.8412,31.288,0.6629,-,4.3188,84.5134,310.0877,-48.48,22.4658,48.8035,2.747,0.3649,0.3937,2018
S&P Global,SPGI,1.3454,0.8054,4.6593,72.06,42.6027,42.6027,45.5715,40.5905,24.6743,0.6433,-,4.5967,79.4054,213.8381,-45.3614,17.3793,41.6159,3.0193,1.9044,1.863,2017
S&P Global,SPGI,1.406,0.8356,5.0842,68.6805,59.0178,59.0178,62.2152,56.3151,37.2019,0.653,-,5.0455,72.3424,317.8317,-59.35,25.7008,52.2392,2.7139,4.586,4.6585,2016
S&P Global,SPGI,1.1334,0.9345,14.8601,67.6642,36.0813,36.0813,39.0363,34.1615,21.758,0.6493,-,5.3613,68.0811,521.8107,-30.4734,15.4955,34.1687,0.9135,-3.1566,-3.324,2015
S&P Global,SPGI,1.0107,0.596,1.475,67.3134,2.2372,2.2372,4.8901,1.0691,-2.2768,0.7458,-,5.4195,67.349,-35.436,10.3132,-2.82,-14.3178,1.9816,1.6581,1.7375,2014
Honeywell,HON,1.2677,0.5019,1.2439,37.2784,19.3225,19.3225,22.5301,19.527,15.4329,0.5959,3.7221,4.8688,74.9673,34.5138,-117.045,9.219,17.19,25.2133,0.2709,-0.1408,2023
Honeywell,HON,1.253,0.4662,1.13,36.9904,18.1216,18.1216,21.5164,17.9862,14.0021,0.5695,4.0352,4.7669,76.5691,28.6795,-146.0882,7.9759,15.3104,25.9422,-0.9001,-0.7397,2022
Honeywell,HON,1.3006,0.4255,1.0186,35.8543,18.0275,18.0275,21.5835,21.0369,16.1142,0.5335,4.2937,5.0354,72.4863,29.155,-263.7518,8.7017,16.7483,28.0987,-0.1081,-0.1537,2021
Honeywell,HON,1.4677,0.4788,1.2582,32.074,17.4526,17.4526,20.5227,18.4208,14.6429,0.5053,4.9385,4.7806,76.3506,27.3468,-266.1378,7.5326,14.2535,25.531,-0.7152,-0.8189,2020
Honeywell,HON,1.3429,0.3726,0.8554,33.6975,18.663,18.663,21.6269,20.5917,16.7343,0.6256,5.5053,4.8991,74.5034,33.3048,-1054.146,10.6171,20.8948,26.3057,0.8996,0.8893,2019
Honeywell,HON,1.2874,0.347,0.8832,30.5153,16.0399,16.0399,18.7096,17.9106,16.1834,0.7236,6.7143,5.5677,65.5572,37.1936,-514.5441,11.8187,24.2868,25.1617,0.8175,0.9618,2018
Honeywell,HON,1.3786,0.43,1.073,30.5669,15.5499,15.5499,18.3007,17.1461,3.8116,0.6816,6.101,4.5718,79.8364,9.529,-25.9987,2.6703,5.4313,22.1934,0.6356,0.7968,2017
