Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Canadian Natural Resources,CNQ,0.964,0.1978,0.2711,50.5616,30.1101,30.1101,47.9398,28.2612,22.8898,0.4735,8.7424,11.2788,32.3617,20.6693,20.6693,10.8393,16.5817,13.7576,-2.338,-2.269,2023
Canadian Natural Resources,CNQ,0.8157,0.2243,0.2998,55.8253,35.5596,35.5596,52.9434,32.3987,25.857,0.5555,10.2948,11.8982,30.677,28.6496,28.6496,14.364,22.2225,13.3155,1.6217,1.4136,2022
Canadian Natural Resources,CNQ,0.8006,0.2704,0.3977,54.2336,32.262,32.262,51.3059,32.974,25.4982,0.3921,8.8863,9.6615,37.7787,20.7444,20.7444,9.9967,15.1346,12.6152,3.379,2.6769,2021
Canadian Natural Resources,CNQ,0.8588,0.3831,0.6625,36.1984,-1.4207,-1.4207,34.3693,-5.1678,-2.575,0.2244,10.1679,6.7599,53.9949,-1.3434,-1.3434,-0.5779,-0.8287,10.2088,-1.2994,-0.9686,2020
Canadian Natural Resources,CNQ,0.6761,0.347,0.5996,52.0091,25.2809,25.2809,49.53,21.6694,23.6806,0.2928,9.5278,9.2296,39.5466,15.4783,15.4783,6.9328,10.1079,11.1088,-0.402,-0.1415,2019
Canadian Natural Resources,CNQ,0.6342,0.3786,0.645,49.3366,23.9406,23.9406,48.4853,16.7499,12.3223,0.2938,11.155,18.3162,19.9277,8.1035,8.1035,3.6208,5.0354,10.2622,0.8223,0.9543,2018
Canadian Natural Resources,CNQ,0.7821,0.394,0.7095,48.8739,15.0081,15.0081,46.1534,17.2542,14.3955,0.2254,9.5224,6.1239,59.6021,7.5727,7.5727,3.245,4.589,9.9843,1.1835,0.9545,2017
Canadian Natural Resources,CNQ,0.8515,0.3634,0.6398,42.0127,-10.8049,-10.8049,35.3606,-10.1017,-1.9386,0.1794,8.8563,4.6053,79.2573,-0.7766,-0.7766,-0.3478,-0.4944,8.9279,-0.8328,-0.5353,2016
Canadian Natural Resources,CNQ,0.8834,0.3549,0.6133,42.5301,-4.6025,-4.6025,39.7476,-5.3951,-5.1525,0.2086,13.5333,6.327,57.6891,-2.3264,-2.3264,-1.0747,-1.5007,9.8001,-1.4767,1.6309,2015
Canadian Natural Resources,CNQ,0.6785,0.3107,0.4846,54.9541,26.7879,26.7879,52.6587,27.371,20.8291,0.3133,12.7776,9.9857,36.5522,10.5641,10.5641,5.0699,7.2819,-,0.2793,-1.2813,2014
