Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Toronto Dominion Bank,TD,-,0.079,2.0072,-,-,-,-,27.5153,21.487,0.0243,-,-,-,9.7889,10.9309,0.5068,8.1477,46.3973,-43.22,-43.3466,2023
Toronto Dominion Bank,TD,-,0.092,1.6417,-,-,-,-,42.5811,35.7969,0.025,-,-,-,16.4155,17.98,0.8572,13.3999,47.4954,-5.2203,-5.3498,2022
Toronto Dominion Bank,TD,-,0.1011,1.9702,-,-,-,-,40.3447,33.0806,0.0246,-,-,-,14.356,16.5879,0.7817,12.1686,43.525,-73.4231,-73.1938,2021
Toronto Dominion Bank,TD,-,0.1073,2.4552,-,-,-,-,32.7272,31.9416,0.0212,-,-,-,11.9773,14.1185,0.6272,10.0602,39.1285,95.2144,94.8187,2020
Toronto Dominion Bank,TD,-,0.109,2.0178,-,-,-,-,34.7802,30.0137,0.0269,-,-,-,12.8121,15.3821,0.7415,10.6618,36.4183,-2.2934,-2.3723,2019
Toronto Dominion Bank,TD,-,0.0984,2.9248,-,-,-,-,37.8858,30.3901,0.0272,-,-,-,14.1125,17.3496,0.7934,11.9295,34.0202,-11.9769,-12.0459,2018
Toronto Dominion Bank,TD,-,0.1451,2.6411,-,-,-,-,36.3098,30.0681,0.0265,-,-,-,14.2916,17.846,0.7872,11.4478,31.2186,-3.5433,-3.3985,2017
Toronto Dominion Bank,TD,-,0.128,2.0934,-,-,-,-,33.2844,27.1377,0.0272,-,-,-,12.1786,15.4845,0.7225,9.9912,30.1355,2.5931,2.6918,2016
Toronto Dominion Bank,TD,-,0.1141,2.4945,-,-,-,-,30.8308,26.2684,0.0269,-,-,-,11.887,15.9246,0.6924,10.1064,29.102,2.4112,2.4052,2015
Toronto Dominion Bank,TD,-,0.1216,0.9492,-,-,-,-,28.3665,24.6405,0.0339,-,-,-,14.1961,19.5083,0.8119,11.9818,-,-20.7943,-20.412,2014
Airbnb,ABNB,1.6592,0.196,0.2438,82.8275,15.3071,15.3071,15.7507,21.1959,48.3211,0.4804,-,1.6897,216.0114,58.6895,64.9939,23.2114,47.1839,12.6198,0.823,0.823,2023
Airbnb,ABNB,1.8627,0.2633,0.3574,82.1526,21.4549,21.4549,22.4193,23.6814,22.5384,0.5237,-,1.756,207.8575,34.0468,38.8228,11.8032,25.0828,8.6875,1.2892,1.2892,2022
Airbnb,ABNB,1.9478,0.2934,0.4153,80.7076,7.1595,7.1595,9.4626,-5.0067,-5.8745,0.4371,-,1.6129,226.2976,-7.3717,-8.6486,-2.5678,-5.2086,-,6.3605,6.4908,2021
Airbnb,ABNB,1.7348,0.3849,0.6257,74.0675,-106.2759,-106.2759,-102.5459,-138.6027,-135.7312,0.322,-,1.5486,235.6972,-158.0063,-211.281,-43.7021,-97.1945,4.8428,-3.4604,-3.1092,2020
Airbnb,ABNB,1.2537,-,-,75.104,-10.4374,-10.4374,-8.0616,-8.5678,-14.0334,0.5782,-,1.5277,238.925,83.4904,43.1526,-8.1147,83.4903,-3.0616,-1.4686,-1.5966,2019
Airbnb,ABNB,1.5724,-,-,76.3408,0.5133,0.5133,2.7696,1.2879,-0.4617,0.5522,-,1.5844,230.3758,3.2592,2.0169,-0.2549,3.2592,-2.0044,1.3382,1.3777,2018
Airbnb,ABNB,-,-,-,74.7166,-3.1761,-3.1761,-0.1183,-2.307,-2.7343,-,-,-,-,-,-,-,-,-,0.9852,0.5922,2017
Airbnb,ABNB,,,,,,,,,,,,,,,,,,,,,2016
Airbnb,ABNB,,,,,,,,,,,,,,,,,,,,,2015
Airbnb,ABNB,,,,,,,,,,,,,,,,,,,,,2014
Cigna Group,CI,-,0.3784,0.6688,-,4.3715,4.3715,5.9258,2.8233,2.6446,1.2782,-,-,-,11.6166,-18.6024,3.5166,7.2205,158.097,12.141,10.9791,2023
