Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Motorola Solutions,MSI,0.9981,0.8643,8.1434,49.8096,22.9906,22.9906,26.5584,21.5073,17.1277,0.7482,6.0556,5.8351,62.5526,231.935,-43.758,12.8524,31.4842,4.4465,1.2718,1.2909,2023
Motorola Solutions,MSI,1.1524,0.9787,45.9084,46.4113,18.2287,18.2287,23.0575,16.6264,14.9583,0.7111,4.6284,6.0026,60.8066,1043.511,-30.2233,10.668,22.2494,0.7821,0.0232,-0.1008,2022
Motorola Solutions,MSI,1.332,1.0041,-247.5217,49.4432,20.4014,20.4014,25.7618,18.994,15.2368,0.6704,5.2424,5.8954,61.9129,-5434.783,-33.8478,10.2552,22.0653,-0.1363,1.317,0.8766,2021
Motorola Solutions,MSI,1.2402,1.117,-9.5656,48.6647,18.6539,18.6539,24.1705,15.8349,12.8001,0.6817,7.4921,5.3338,68.4314,-176.1553,-23.8608,8.7624,20.6188,-3.1936,-1.1168,-0.6691,2020
Motorola Solutions,MSI,1.2149,1.1542,-7.5095,49.8415,20.0456,20.0456,25.0412,12.6918,11.0055,0.7411,8.8501,5.5857,65.3455,-127.5256,-21.3638,8.1846,19.6614,-4.0059,4.1316,3.9044,2019
Motorola Solutions,MSI,1.3798,1.318,-4.1693,47.3921,17.0911,17.0911,21.9937,15.0075,13.1554,0.7804,10.8511,5.679,64.2714,-75.9404,-24.1045,10.2987,24.1465,-7.8043,-2.0127,-1.7645,2018
Motorola Solutions,MSI,1.3477,1.6415,-2.5889,47.3981,20.1254,20.1254,25.5016,16.8652,-2.4295,0.7773,10.263,4.1891,87.1309,8.7435,4.2825,-1.8397,-5.6092,-10.7134,1.5325,1.2828,2017
Motorola Solutions,MSI,1.2999,1.2767,-4.6176,47.5157,17.3567,17.3567,22.2425,13.9781,9.2746,0.7135,11.6081,4.2823,85.2352,-59.0336,-22.471,6.6407,16.3372,-5.7802,1.6707,1.3793,2016
Motorola Solutions,MSI,2.1062,1.0226,-45.3021,47.7436,17.4539,17.4539,20.0878,16.1018,10.7112,0.6824,10.0541,4.1814,87.2924,-669.7916,-124.6124,7.7043,15.133,-0.5508,7.6531,7.4034,2015
Motorola Solutions,MSI,3.0573,0.5511,1.2292,48.1381,-17.1059,-17.1059,-14.1643,-19.7415,22.0881,0.5642,8.8406,4.1739,87.4486,-25.1627,-29.2069,-6.6775,-11.295,12.5842,-4.6454,-4.8673,2014
Northrop Grumman,NOC,1.1477,0.4823,0.9318,16.6735,6.4571,6.4571,9.8626,5.971,5.2329,0.8441,29.5212,5.4974,66.3949,13.8966,-67.922,4.4173,7.1936,98.5617,6.8494,3.3981,2023
Northrop Grumman,NOC,1.0778,0.4353,0.771,20.4197,9.8383,9.8383,13.5047,15.9445,13.3763,0.8365,29.7832,4.8842,74.7312,31.9749,-189.1808,11.1896,18.0551,99.9752,-3.5251,-3.4791,2022
Northrop Grumman,NOC,1.3039,0.4971,0.9885,20.3774,15.8438,15.8438,19.3176,25.0596,19.64,0.8377,35.0173,5.1253,71.2153,54.1931,-135.5719,16.4518,27.2536,82.7084,-3.5171,-4.54,2021
Northrop Grumman,NOC,1.6017,0.5741,1.348,20.3212,11.0465,11.0465,14.4895,10.1307,8.666,0.8275,38.6311,5.5412,65.8704,30.1446,-41.2976,7.1713,12.8382,63.4548,0.4097,0.5956,2020
Northrop Grumman,NOC,1.1326,0.5915,1.448,21.4503,11.7284,11.7284,15.4665,7.5293,6.6428,0.8236,33.9489,5.0812,71.833,25.4904,-20.5691,5.4711,10.4127,52.5416,3.3578,3.076,2019
Northrop Grumman,NOC,1.1699,0.629,1.6957,22.5652,12.5602,12.5602,15.2185,12.434,10.7294,0.7993,35.633,4.6486,78.5184,39.4406,-27.2329,8.5757,14.6307,47.9875,7.0383,5.1695,2018
Northrop Grumman,NOC,2.3388,0.6688,2.0189,22.8042,12.375,12.375,14.2017,16.2629,11.0329,0.7403,50.4372,5.7544,63.4301,40.2272,-53.3768,8.1673,13.325,40.9683,-0.7041,-0.8918,2017
Northrop Grumman,NOC,1.2178,0.573,1.3421,23.9173,13.264,13.264,15.1097,10.8516,8.2692,0.9646,23.0355,7.4889,48.7386,38.8477,-28.4105,7.9761,16.5868,30.0398,4.3006,1.6618,2016
Northrop Grumman,NOC,1.1607,0.5363,1.1565,23.982,13.0749,13.0749,15.0599,11.8592,8.4587,0.9632,22.1611,8.2809,44.0774,36.0377,-28.6826,8.1477,16.7115,30.4573,-0.9415,-0.7547,2015
Northrop Grumman,NOC,1.3204,0.4502,0.8189,23.3579,13.3283,13.3283,15.255,12.2482,8.6284,0.9024,24.7682,8.5456,42.712,28.5971,-39.5527,7.7864,15.7219,36.3696,1.6097,0.521,2014
Air Products And Chemicals,APD,1.3349,0.3759,0.6581,29.8968,19.7984,19.7984,30.5786,22.8762,18.2556,0.3937,13.5517,5.2012,70.1756,14.8861,16.1173,7.2844,9.2908,70.4784,0.1448,-7.5701,2023
Air Products And Chemicals,APD,1.8128,0.3409,0.5579,26.4604,18.4178,18.4178,28.956,21.6929,17.7665,0.467,18.1612,5.4968,66.4028,16.4489,17.9853,8.2887,10.8422,61.7673,-0.7398,-2.7784,2022
Air Products And Chemicals,APD,2.9925,0.3367,0.5421,30.3875,22.1002,22.1002,34.8997,24.2895,20.3342,0.3843,15.8319,5.1558,70.7937,14.5131,16.0288,7.6123,9.6269,63.6323,0.3037,0.3224,2021
Air Products And Chemicals,APD,3.5937,0.3739,0.6355,33.8539,25.2656,25.2656,38.6459,27.3681,21.3035,0.3519,14.4716,5.0386,72.4412,15.6344,17.5012,7.7295,9.7891,56.2993,1.2839,-0.7127,2020
Air Products And Chemicals,APD,2.5363,0.2208,0.2921,33.0018,24.0411,24.0411,36.1816,25.6702,19.7334,0.4708,15.3889,5.132,71.1224,15.8882,17.7886,9.5519,12.3798,51.6675,1.8659,-0.1806,2019
Air Products And Chemicals,APD,2.1735,0.2307,0.3411,30.6902,22.0107,22.0107,32.8806,22.5639,16.7723,0.4656,15.6261,5.6502,64.5991,13.3381,14.9836,7.7728,10.2609,50.9136,0.033,-2.3123,2018
Air Products And Chemicals,APD,2.3611,0.2504,0.3891,29.7535,17.5876,17.5876,28.1621,17.2957,36.6457,0.4434,17.1482,5.1909,70.3154,11.3416,12.7005,6.2554,8.5017,46.6484,1.156,0.5728,2017
Air Products And Chemicals,APD,1.315,0.3515,0.7224,31.0034,20.4579,20.4579,31.847,20.7178,8.4105,0.4162,20.3031,4.4548,81.9337,15.5544,18.7613,6.2234,10.0871,33.1878,0.927,2.0681,2016
Air Products And Chemicals,APD,0.7665,0.3485,0.7965,28.4511,15.7612,15.7612,26.7334,16.1816,16.3325,0.4514,8.5105,4.4718,81.6227,13.0861,16.8231,5.5721,8.525,34.2735,-0.7568,0.2687,2015
Air Products And Chemicals,APD,1.112,0.3908,0.8135,26.9097,12.8279,12.8279,21.9944,13.0798,9.5,0.5872,10.8072,5.1961,70.2448,13.2422,17.5714,5.6021,8.0675,35.2228,2.8614,3.6719,2014
