Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Eli Lilly,LLY,0.9426,0.6278,2.322,79.2458,18.9248,18.9248,23.4005,19.2081,15.3569,0.5331,1.2268,3.0102,121.2549,48.2377,-533.319,8.1873,17.9561,11.443,-3.6914,-5.4583,2023
Eli Lilly,LLY,1.0523,0.5776,1.507,76.7713,24.9718,24.9718,30.3062,23.8475,21.8798,0.5767,1.5383,3.3347,109.455,57.9542,-1238.563,12.6184,24.477,11.3404,0.306,-0.3071,2022
Eli Lilly,LLY,1.2259,0.6264,1.8444,74.1765,22.4487,22.4487,27.9137,21.7368,19.7105,0.5802,1.8818,3.4844,104.7527,60.9702,-229.7847,11.4365,22.7813,9.5997,0.9567,1.041,2021
Eli Lilly,LLY,1.399,0.7401,2.8489,77.6555,24.6864,24.6864,30.0813,29.4619,25.2394,0.5262,1.3776,3.5416,103.0605,106.326,-114.8833,13.2818,27.6359,6.0895,1.9537,1.5377,2020
Eli Lilly,LLY,1.1643,0.8366,5.6749,78.8472,22.2868,22.2868,27.8093,23.5933,37.2697,0.5681,1.4797,4.0277,90.6224,171.8313,-61.0387,11.8055,28.0796,2.8188,-0.1755,-0.1093,2019
Eli Lilly,LLY,1.7286,0.4574,0.944,78.2179,16.4447,16.4447,23.9307,17.1221,15.0372,0.4895,1.5112,3.7206,98.1018,28.8805,37.1774,7.1754,15.6703,10.3205,0.0067,-0.141,2018
Eli Lilly,LLY,1.321,0.46,1.1696,77.7323,10.0296,10.0296,17.8764,11.5391,-1.0218,0.444,0.9976,3.7957,96.1611,-0.7405,-2.6433,-0.1921,-0.3998,10.6071,0.7693,0.6533,2017
Eli Lilly,LLY,1.3745,0.3728,0.7319,73.0936,15.367,15.367,22.4191,15.8985,12.8998,0.5469,1.6031,4.4525,81.9758,19.4425,47.6113,7.0546,12.1951,12.7903,1.7868,1.7929,2016
Eli Lilly,LLY,1.5279,0.3533,0.5468,74.7619,13.4748,13.4748,20.6281,13.9789,12.0669,0.5611,1.4618,4.9019,74.4605,16.5069,43.6652,6.7711,10.6743,13.2007,-1.3683,-1.2139,2015
Eli Lilly,LLY,1.2245,0.2574,0.5213,74.8542,13.5596,13.5596,20.5897,15.2955,12.1867,0.5403,1.8002,5.1602,70.7332,15.5347,22.2459,6.584,11.5367,13.8553,-1.1368,-1.4371,2014
Broadcom,AVGO,2.8153,0.6106,1.6354,68.9299,45.2469,45.2469,55.9535,42.148,39.3143,0.4916,5.8635,11.3567,32.1397,58.7044,-59.8419,19.3272,22.8571,5.7942,0.2789,0.2732,2023
Broadcom,AVGO,2.6239,0.6324,1.7401,66.5452,42.8425,42.8425,57.8532,37.4484,33.8012,0.4533,5.7704,11.2248,32.5172,50.6187,-41.0301,15.6931,18.6051,5.4328,0.7481,0.7512,2022
Broadcom,AVGO,2.6407,0.6124,1.5916,61.3625,31.0346,31.0346,53.0419,24.6448,23.4499,0.3632,8.1773,13.2545,27.5379,26.985,-22.5571,8.9136,10.4593,6.0441,0.3436,0.3502,2021
Broadcom,AVGO,1.8671,0.6276,1.7199,56.5807,16.8034,16.8034,45.7091,10.2269,11.1479,0.3146,10.341,10.3997,35.0973,12.4026,-8.1447,3.8995,4.6187,5.8658,0.5505,0.5227,2020
Broadcom,AVGO,1.4375,0.5461,1.315,55.2419,15.241,15.241,40.9435,9.8509,11.9264,0.3348,11.5721,6.9337,52.6413,10.9699,-9.3293,4.0538,4.9789,6.2666,0.254,0.2638,2019
Broadcom,AVGO,3.8952,0.3962,0.6562,51.4822,24.6307,24.6307,44.2057,21.8007,58.8018,0.4159,8.9991,6.2701,58.213,47.3759,-114.6215,25.1955,28.6048,6.5336,0.5042,0.5615,2018
Broadcom,AVGO,6.2566,0.4292,0.7568,48.2479,13.4441,13.4441,40.3039,10.3482,9.594,0.3241,6.3075,7.2042,50.6646,7.7202,-14.4916,3.2894,4.407,5.6689,0.6655,0.7038,2017
Broadcom,AVGO,2.3148,0.3761,0.6236,44.8641,-3.0891,-3.0891,20.1586,-8.361,-13.1344,0.265,5.2143,6.0706,60.1258,-7.9951,9.7579,-3.5004,-4.988,5.4926,0.0657,0.0501,2016
Broadcom,AVGO,3.3592,0.448,0.8214,52.0662,23.9156,23.9156,38.3353,21.4977,19.9883,0.649,6.2424,6.6968,54.504,29.5079,-586.9199,13.2287,16.2881,1.7064,0.3848,0.3661,2015
Broadcom,AVGO,3.7746,0.6275,1.6987,43.9681,10.26,10.26,25.2284,8.0112,6.1607,0.4069,4.6089,5.4591,66.8611,9.5282,-15.6853,2.9454,3.5493,1.2751,0.1536,0.094,2014
Novo Nordisk,NVO,0.8231,0.1615,0.2534,84.6014,44.1633,44.1633,48.216,45.0674,36.0297,0.7385,1.1243,3.0861,118.2733,78.5306,181.3087,26.6095,65.846,3.4307,1.0602,0.605,2023
Novo Nordisk,NVO,0.8946,0.2256,0.3088,83.9235,42.276,42.276,46.4364,39.0282,31.3782,0.7335,1.1665,3.0772,118.6146,66.5082,173.1368,23.0149,51.5055,2.5925,0.5578,0.3981,2022
Novo Nordisk,NVO,0.8601,0.1548,0.3766,83.1975,41.6506,41.6506,45.9297,41.9602,33.9183,0.7239,1.2057,3.0086,121.3184,67.5049,173.1895,24.5527,57.0526,2.4363,0.1996,0.1712,2021
Novo Nordisk,NVO,0.9365,0.0437,0.1635,83.5111,42.637,42.637,47.1689,41.8524,33.1936,0.876,1.1293,3.9444,92.5367,66.5425,98.7578,29.0763,63.6314,2.0641,0.2265,0.3174,2020
Novo Nordisk,NVO,1.0589,0.0497,0.0778,83.5373,43.0115,43.0115,47.6508,39.7907,31.9216,0.9714,1.1387,4.1857,87.202,67.6315,75.256,31.009,64.2735,1.7986,0.0672,0.0894,2019
Novo Nordisk,NVO,1.0905,-,0.0099,84.2468,42.2495,42.2495,45.7592,42.5776,34.5414,1.0096,1.0784,4.159,87.7618,74.5153,82.7258,34.8726,74.5153,1.6176,0.1452,0.0751,2018
Novo Nordisk,NVO,1.2768,-,0.034,84.2143,43.8395,43.8395,46.6883,43.5826,34.1373,1.0913,1.1469,4.7427,76.9599,76.5432,82.0176,37.2527,76.5432,1.5481,-0.1545,-0.1809,2017
Novo Nordisk,NVO,1.2599,-,0.0051,84.6279,43.328,43.328,46.1845,42.7608,33.9283,1.146,1.1982,4.6196,79.0115,83.777,89.12,38.8819,83.777,1.3432,0.3111,0.2545,2016
Novo Nordisk,NVO,1.3491,-,0.0228,85.001,45.8125,45.8125,48.5541,40.2893,32.2996,1.1757,1.2689,4.9936,73.0933,74.2192,77.7934,37.9743,74.2192,1.3715,0.0309,0.0156,2015
Novo Nordisk,NVO,1.3741,-,0.0179,83.6025,38.8397,38.8397,42.7077,38.3938,29.8189,1.1524,1.2822,4.6738,78.0957,65.7195,68.0466,34.3632,65.7195,1.3853,0.2166,0.1875,2014
Tesla,TSLA,1.7259,0.0431,0.0825,18.2489,9.1875,9.1875,14.0101,10.3056,15.4992,0.9077,5.806,27.5864,13.2312,23.6306,23.7924,14.0445,22.6111,19.8955,-0.4334,-1.1961,2023
Tesla,TSLA,1.532,0.0339,0.0681,25.5984,16.7636,16.7636,21.3633,16.841,15.4465,0.9894,4.7207,27.5955,13.2268,27.6704,27.9215,15.287,26.7319,14.3771,0.8416,1.3282,2022
Tesla,TSLA,1.3753,0.1446,0.2203,25.2792,12.1194,12.1194,17.5278,11.7849,10.2633,0.8663,6.9858,28.1354,12.973,18.1977,18.4698,9.084,15.5654,10.0048,1.5663,0.2609,2021
Tesla,TSLA,1.8751,0.294,0.5087,21.0236,6.3229,6.3229,13.686,3.6593,2.188,0.6047,6.0732,16.7211,21.8287,3.7356,3.8218,1.653,2.6375,8.0122,0.9254,0.4524,2020
