Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Mondelez,MDLZ,0.6155,0.3732,0.6842,38.2164,15.2765,15.2765,18.6501,16.3261,13.7689,0.5045,6.1555,7.9823,45.7264,17.5139,-32.3311,6.9589,10.9783,21.0355,0.6192,0.4431,2023
Mondelez,MDLZ,0.6031,0.4293,0.8519,35.9157,11.2205,11.2205,14.7352,10.2489,8.6265,0.4426,5.9698,8.0614,45.2773,10.1263,-16.7857,3.8308,5.779,19.7088,-0.1089,-0.1992,2022
Mondelez,MDLZ,0.7383,0.3826,0.6889,39.1852,16.2013,16.2013,20.0766,15.2124,14.9721,0.4281,6.4498,9.0088,40.516,15.2314,-36.1125,6.43,9.4042,20.3524,0.1797,0.2403,2021
Mondelez,MDLZ,0.6583,0.3845,0.7249,39.2987,14.4953,14.4953,18.6938,12.7271,13.3742,0.392,6.0956,8.9983,40.5632,12.9059,-28.0516,5.2632,7.9435,19.486,0.0314,0.0176,2020
Mondelez,MDLZ,0.498,0.3421,0.6745,39.9606,14.8562,14.8562,18.9037,13.3253,15.1887,0.401,6.1002,8.8377,41.3003,14.4379,-34.3315,6.1133,9.4981,19.0362,0.0627,-0.0465,2019
Mondelez,MDLZ,0.4543,0.3277,0.7145,39.9106,12.7689,12.7689,15.8956,10.9569,12.7882,0.4135,6.0131,8.6287,42.3005,12.9545,-25.5955,5.3101,8.7096,17.7209,0.9631,1.0853,2018
Mondelez,MDLZ,0.4762,0.3322,0.677,38.7473,13.3689,14.0871,17.2382,12.0636,10.9206,0.4113,6.2034,7.3443,49.6984,10.8998,-20.8205,4.5142,7.2786,17.5213,-0.1105,-0.0113,2017
Mondelez,MDLZ,0.5882,0.3439,0.6821,38.977,9.8523,9.887,13.0618,5.6089,6.3071,0.4213,6.407,7.4706,48.8582,6.5239,-12.4981,2.6731,4.2803,16.498,-0.4731,-0.2753,2016
Mondelez,MDLZ,0.8202,0.3413,0.548,38.8447,30.0209,53.0402,56.0568,26.6028,24.5209,0.4716,6.9467,7.7057,47.3677,25.9466,-64.3399,11.6019,17.0922,17.7844,0.193,0.2615,2015
Mondelez,MDLZ,0.8389,0.3316,0.598,36.786,9.4674,9.4674,12.5599,7.4582,6.3778,0.5129,6.2204,7.2077,50.64,7.9022,-13.8681,3.2963,5.2815,16.7422,-1.4987,-1.6287,2014
Blackstone,BX,0.7997,0.4009,0.669,100,37.9131,43.2961,43.7956,36.8662,17.3365,0.1991,-,1.7217,212.002,14.4663,16.5099,6.067,8.6675,23.4878,-3.1812,-3.1602,2023
Blackstone,BX,0.9611,0.4074,0.6874,100,41.6152,45.3395,46.1273,40.6424,20.5177,0.2003,-,1.8478,197.5314,16.6364,18.8473,7.0287,9.8593,25.2944,3.0165,2.788,2022
Blackstone,BX,0.6953,0.2651,0.362,100,58.0256,58.9038,59.2354,60.0581,25.9439,0.548,-,4.2651,85.5786,57.191,63.5808,30.039,42.0287,30.721,2.7586,2.8294,2021
Blackstone,BX,1.1529,0.2826,0.3974,100,42.976,45.6991,46.8635,42.8966,17.1317,0.2323,-,1.4928,244.513,15.5694,18.4223,8.6089,11.1697,21.2398,-0.1268,-0.1977,2020
Blackstone,BX,1.0682,0.428,0.7533,100,45.973,48.6936,49.6611,52.0288,27.9314,0.2252,-,2.0556,177.5665,25.7467,30.326,11.8641,14.7274,22.3724,2.8654,2.7914,2019
