Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Occidental Petroleum,OXY,0.9155,0.3792,0.6504,60.0701,22.7519,26.5881,50.883,22.7519,13.3524,0.3818,5.5801,8.8441,41.2703,21.2855,15.4733,6.3453,9.6062,34.5086,-3.9677,-6.1214,2023
Occidental Petroleum,OXY,1.1455,0.3953,0.6593,67.0716,37.6699,40.8992,59.8051,38.5352,34.1322,0.5045,5.8587,8.5573,42.6534,65.4628,44.2214,18.3228,26.739,33.433,5.8941,3.2885,2022
Occidental Petroleum,OXY,1.2267,0.5915,1.457,62.787,13.8041,20.6619,53.2054,14.2742,5.8638,0.3459,5.2324,6.1683,59.174,26.408,13.7256,3.7182,5.6071,21.7616,6.5774,5.5543,2021
Occidental Petroleum,OXY,1.0725,0.6581,1.9483,52.451,-85.8106,-77.152,-31.6862,-88.1858,-88.0173,0.2224,4.4615,8.4203,43.3475,-153.5921,-72.8638,-16.9027,-24.9144,19.9385,-4.8056,-4.8053,2020
Occidental Petroleum,OXY,1.1518,0.5296,1.1272,59.8919,0.5786,6.7142,36.0767,1.6929,-4.7104,0.1951,5.3049,4.94,73.8867,-2.0719,-1.4811,-0.473,-0.6967,38.286,-0.9366,1.6047,2019
Occidental Petroleum,OXY,1.34,0.3235,0.4837,63.1508,31.4632,34.4087,56.7213,31.4632,23.1766,0.4064,5.2127,3.6428,100.1989,19.3671,19.3671,9.4199,13.1014,28.4632,3.7004,5.5814,2018
Occidental Petroleum,OXY,1.1176,0.312,0.4777,55.2766,10.6172,14.1669,46.1625,10.6172,10.4333,0.2976,4.4896,3.0176,120.9566,6.3727,6.3727,3.1195,4.3846,26.8878,1.9163,0.7744,2017
Occidental Petroleum,OXY,1.3247,0.3135,0.4568,48.5729,-18.2854,-14.3409,27.9584,-18.2854,-5.6888,0.2341,5.9919,2.5295,144.2998,-4.6611,-4.6611,-2.3243,-3.1996,28.1287,0.0535,3.3824,2016
Occidental Petroleum,OXY,1.3742,0.2197,0.3411,53.4936,-77.5962,-75.4728,-39.0625,-77.5962,-62.7324,0.2875,5.8864,4.202,86.863,-33.4538,-33.4538,-18.7657,-26.1048,31.8851,-9.7928,-5.2463,2015
Occidental Petroleum,OXY,1.6828,0.1636,0.1956,64.7732,6.338,7.4099,29.4739,6.338,3.1897,0.3433,6.4667,4.5915,79.4941,-0.3719,-0.3719,-0.2311,-0.311,45.3656,-1.7114,-4.0003,2014
