Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Cisco,CSCO,1.3845,0.1305,0.1892,62.7268,26.3711,26.3711,29.3993,26.8746,22.1289,0.5596,5.8301,9.7366,37.4875,28.4378,315.325,12.3837,24.726,10.9083,1.6892,1.5752,2023
Cisco,CSCO,1.432,0.1746,0.2392,62.5483,27.0943,27.0943,30.8901,28.0796,22.9106,0.5485,7.5191,7.7857,46.8807,29.6985,-1073.818,12.5657,24.5118,9.6771,-0.4932,-0.4285,2022
Cisco,CSCO,1.4896,0.1793,0.2792,64.021,25.7598,25.7598,29.4974,26.6209,21.2594,0.511,11.4971,8.64,42.2456,25.6596,-2068.555,10.8629,21.0586,9.7878,0.0221,0.0042,2021
Cisco,CSCO,1.7201,0.2339,0.3846,64.2644,27.6262,27.6262,31.2935,28.3361,22.746,0.5198,13.7426,9.0097,40.512,29.5728,441.844,11.8225,22.6555,8.9497,0.0711,0.1314,2020
Cisco,CSCO,1.5059,0.3013,0.7347,62.9354,27.3948,27.3948,31.0496,28.073,22.3894,0.5308,13.9103,9.4526,38.6139,34.6162,-538.2585,11.8833,24.1872,7.8991,0.7553,0.7148,2019
Cisco,CSCO,2.2873,0.32,0.5918,62.0434,24.9524,24.9524,29.3959,26.4322,0.223,0.4535,10.143,8.8819,41.0949,0.2546,1.2296,0.1011,0.1731,9.3637,0.0515,0.0824,2018
Cisco,CSCO,3.0346,0.28,0.5098,62.9601,24.9412,24.9412,29.7032,25.5953,20.0167,0.3698,11.0031,9.3286,39.127,14.5289,28.4021,7.4019,10.4603,13.2725,0.0812,0.1088,2017
Cisco,CSCO,3.16,0.278,0.4505,62.8668,25.7072,25.7072,30.0729,26.2351,21.8064,0.4048,15.0263,8.4226,43.3357,16.8892,31.1646,8.8276,12.194,12.6437,0.2279,0.2449,2016
Cisco,CSCO,3.1338,0.2644,0.4246,60.3751,21.9076,21.9076,26.875,22.7843,18.2686,0.4336,11.973,9.1993,39.677,15.0418,27.3294,7.9216,11.0653,11.7418,0.104,0.0673,2015
Cisco,CSCO,3.3881,0.2641,0.3679,58.905,19.8231,19.8231,24.9968,20.608,16.6582,0.4487,12.1766,9.1414,39.9284,13.8596,26.9474,7.4741,10.199,11.0948,-0.0615,-0.0695,2014
Disney,DIS,1.0522,0.2882,0.4466,33.4057,5.7369,5.7369,11.7764,5.3646,2.648,0.4324,30.1584,7.2099,50.6249,3.261,24.5137,1.649,2.321,58.37,2.1061,2.0964,2023
Disney,DIS,1.0009,0.3142,0.4892,34.2364,7.8975,7.8975,14.1389,6.3889,3.8019,0.4062,31.2291,6.5383,55.8253,3.5933,57.8194,1.7448,2.4643,55.5188,0.2403,-0.5079,2022
Disney,DIS,1.083,0.3429,0.5849,33.0579,4.4573,4.4573,12.0383,3.7987,2.9592,0.3311,33.9076,5.0436,72.3687,2.7266,-116.5977,1.2455,1.7916,52.224,-1.1675,-0.9003,2021
Disney,DIS,1.3238,0.3748,0.6642,32.8929,-2.9684,-2.9684,12.7806,-2.6656,-4.38,0.3244,27.7195,5.1454,70.9369,-2.7667,28.3987,-1.2116,-1.7297,49.5581,0.6206,1.3227,2020
Disney,DIS,0.8974,0.2888,0.5004,39.5736,15.2959,15.2959,21.2823,20.0023,15.8806,0.3588,25.507,4.4963,81.1781,11.6063,-113.2862,5.6175,8.2542,52.717,-5.8939,-5.8578,2019
Disney,DIS,0.942,0.2444,0.3951,44.9372,24.9083,24.9083,29.9744,24.7821,21.1966,0.6028,23.5101,6.3675,57.3226,24.7312,88.577,13.2518,18.6881,35.2213,1.6638,0.9969,2018
Disney,DIS,0.8109,0.2982,0.562,45.0351,24.9832,24.9832,30.0288,25.0068,16.2867,0.5756,22.0728,6.3868,57.1494,20.8115,142.2756,9.7777,14.6063,30.0027,-0.1927,0.4235,2017
Disney,DIS,1.0074,0.2583,0.4262,46.0868,25.5285,25.5285,30.0708,26.7256,16.8806,0.6045,21.5777,6.137,59.4752,20.6876,77.921,10.6375,15.3434,29.5769,1.3528,0.9363,2016
Disney,DIS,1.026,0.2079,0.3563,45.9373,25.1044,25.1044,29.5912,26.4329,15.9764,0.595,18.0547,6.5426,55.7883,18.1934,64.8166,10.0383,14.4104,30.4094,1.1018,0.4885,2015
Disney,DIS,1.1412,0.2077,0.3071,45.8751,23.3544,23.3544,28.0417,25.0876,15.3668,0.5801,16.7853,6.2405,58.4891,16.6134,62.225,9.5126,13.1625,28.34,0.3465,0.0064,2014
McDonald's,MCD,1.1644,1.1451,-8.3594,57.122,45.6846,45.6846,53.4442,41.2737,33.2192,0.4541,207.0303,10.2467,35.6214,-179.9306,-109.3158,15.0833,26.1011,-6.5127,3.1611,2.5811,2023
McDonald's,MCD,1.4266,1.2008,-5.9805,56.9703,40.4226,40.4226,48.4915,33.7555,26.6467,0.4596,191.8346,10.961,33.2998,-102.8983,-69.3794,12.2481,20.6601,-8.2092,-2.195,-2.1323,2022
McDonald's,MCD,1.7782,1.1483,-7.7424,54.1715,44.5939,44.5939,52.6381,39.3056,32.4903,0.4312,191.4155,12.4028,29.429,-163.9903,-102.19,14.0104,24.3223,-6.1775,3.807,3.3857,2021
McDonald's,MCD,1.01,1.2859,-4.7848,50.7716,38.1303,38.1303,47.2485,31.9698,24.628,0.365,185.0431,9.1019,40.1014,-60.4545,-44.6358,8.9888,17.2823,-10.4976,-2.266,-1.4852,2020
McDonald's,MCD,0.9826,1.3169,-4.1627,52.3272,42.4529,42.4529,50.0257,37.5302,28.203,0.4497,202.8884,9.6054,37.9993,-73.3883,-55.3414,12.6822,23.2571,-11.0013,1.7505,2.1046,2019
McDonald's,MCD,1.3631,1.2522,-4.9654,50.958,41.5027,41.5027,48.4742,36.768,27.8687,0.6479,204.0176,8.7069,41.9208,-94.6616,-68.9682,18.0557,23.872,-8.1585,2.0609,0.8436,2018
