Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Novartis AG,NVS,1.155,0.2828,0.5264,73.2705,20.9366,20.9366,38.9027,19.5521,31.826,0.4669,2.1093,6.1941,58.9272,18.3358,-247.0317,8.5767,13.1501,22.8718,0.4314,0.383,2023
Novartis AG,NVS,1.288,0.2541,0.4405,73.3508,18.2831,18.2831,34.3089,16.5137,16.0029,0.37,1.6142,5.2149,69.9917,10.1796,-397.4376,5.1501,7.5929,28.035,-0.1889,-0.0303,2022
Novartis AG,NVS,1.5134,0.2524,0.4305,69.9926,22.106,22.106,22.106,49.4298,45.4281,0.4012,2.3803,6.3838,57.176,35.4133,593.7701,18.2238,26.4737,30.3468,0.7235,0.7369,2021
Novartis AG,NVS,0.8976,0.3167,0.6361,69.6962,20.3455,20.3455,32.6286,19.7964,16.177,0.3905,2.1205,5.9009,61.855,14.2431,-79.58,6.3164,9.7329,25.109,0.0697,-0.2222,2020
Novartis AG,NVS,1.0439,0.2681,0.493,70.3659,18.6659,18.6659,30.5565,18.366,24.1017,0.4112,2.4114,5.6899,64.1489,12.8657,2977.917,6.0378,9.4158,24.5257,-0.2133,0.053,2019
Novartis AG,NVS,1.2012,0.2221,0.4085,68.5243,18.2282,18.2282,29.5451,30.5755,27.3563,0.3167,2.086,5.1364,71.0617,16.266,273.5627,8.7934,12.653,34.0481,0.7656,0.968,2018
Novartis AG,NVS,1.2053,0.2383,0.3844,65.7425,17.2115,17.2115,29.3308,17.9495,15.3645,0.3767,2.5011,5.6959,64.0816,10.3776,61.7228,5.7883,7.9045,32.0289,0.5418,0.6189,2017
Novartis AG,NVS,1.1226,0.1929,0.3178,64.5602,16.7247,16.7247,28.9485,15.8124,13.5772,0.3799,2.801,5.9148,61.7095,8.9437,53.2814,5.1474,7.2186,31.545,-0.0985,0.0375,2016
Novartis AG,NVS,0.9636,0.1747,0.2844,65.4594,17.8161,17.8161,28.6741,16.1431,35.2928,0.383,2.7954,6.1598,59.2554,9.1128,59.9096,5.3422,7.5207,32.4875,-0.8491,-0.699,2015
Novartis AG,NVS,1.3925,0.163,0.2881,67.6604,20.6753,20.6753,20.6753,22.881,19.0364,0.4277,2.8467,6.4815,56.3146,15.1417,60.6011,8.5551,12.6732,29.5352,0.4147,0.5093,2014
Linde,LIN,0.803,0.2459,0.4716,46.7584,24.4232,24.4232,36.0382,24.3136,18.8683,0.4066,8.2705,6.9635,52.4158,15.435,328.2091,7.8467,11.6394,85.1538,1.3155,-0.082,2023
Linde,LIN,0.7917,0.2277,0.433,41.7036,16.0922,16.0922,28.6926,16.6137,12.4296,0.4188,9.8332,7.3183,49.8752,10.3471,136.468,5.3742,7.9911,84.0156,-1.0487,-1.4306,2022
Linde,LIN,0.7446,0.1997,0.3127,43.0293,16.1855,16.1855,31.2376,16.559,12.4249,0.3773,10.1229,6.8444,53.3282,8.7083,86.2249,4.8477,6.9693,89.3055,4.6482,5.1361,2021
Linde,LIN,0.7951,0.1969,0.3259,43.5341,12.194,12.194,29.1745,12.4215,9.1803,0.3088,8.8971,6.5378,55.8292,5.2896,50.5787,2.9718,4.2481,94.725,2.7625,3.1151,2020
Linde,LIN,0.8513,0.1719,0.2709,41.0373,10.3904,10.3904,26.9945,10.3691,8.0948,0.3259,9.8079,6.5312,55.8853,4.4098,27.1575,2.6232,3.6519,96.4145,0.288,-0.8302,2019
Linde,LIN,1.3331,0.1771,0.268,39.2019,35.3667,35.3667,50.182,34.0321,29.5295,0.1589,5.4634,3.4526,105.7162,7.5123,30.6658,4.5917,6.1815,104.3049,0.4177,-0.6834,2018
