Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Lowe's,LOW,"$86,377","$57,533","$28,844",-,"$15,570",-,"$17,287","$11,557","$-1,382","$10,175","$2,449","$7,726",-,"$7,726",-,"$7,706","$13,480","$11,557",582,584,$13.23,$13.20,2023
Lowe's,LOW,"$97,059","$64,802","$32,257",-,"$20,332",-,"$22,098","$10,159","$-1,123","$9,036","$2,599","$6,437",-,"$6,437",-,"$6,416","$12,140","$10,159",629,631,$10.20,$10.17,2022
Lowe's,LOW,"$96,250","$64,194","$32,056",-,"$18,301",-,"$19,963","$12,093",$-885,"$11,208","$2,766","$8,442",-,"$8,442",-,"$8,409","$13,975","$12,093",696,699,$12.07,$12.04,2021
Lowe's,LOW,"$89,597","$60,025","$29,572",-,"$18,526",-,"$19,925","$9,647","$-1,908","$7,739","$1,904","$5,835",-,"$5,835",-,"$5,811","$11,241","$9,647",748,750,$7.77,$7.75,2020
Lowe's,LOW,"$72,148","$49,205","$22,943",-,"$15,367",-,"$16,629","$6,314",$-691,"$5,623","$1,342","$4,281",-,"$4,281",-,"$4,268","$7,724","$6,314",777,778,$5.49,$5.49,2019
Lowe's,LOW,"$71,309","$48,401","$22,908",-,"$17,413",-,"$18,890","$4,018",$-624,"$3,394","$1,080","$2,314",-,"$2,314",-,"$2,307","$6,577","$4,018",811,812,$2.84,$2.84,2018
Lowe's,LOW,"$68,619","$46,185","$22,434",-,"$14,444",-,"$15,848","$6,586","$-1,097","$5,489","$2,042","$3,447",-,"$3,447",-,"$3,436","$8,126","$6,586",839,840,$4.09,$4.09,2017
Lowe's,LOW,"$65,017","$43,343","$21,674",-,"$14,375",-,"$15,828","$5,846",$-645,"$5,201","$2,108","$3,093",-,"$3,093",-,"$3,064","$7,436","$5,846",880,881,$3.48,$3.47,2016
Lowe's,LOW,"$59,074","$38,504","$20,570",-,"$14,105",-,"$15,599","$4,971",$-552,"$4,419","$1,873","$2,546",-,"$2,546",-,"$2,534","$6,558","$4,971",927,929,$2.73,$2.73,2015
Lowe's,LOW,"$56,223","$36,665","$19,558",-,"$13,272",-,"$14,766","$4,792",$-516,"$4,276","$1,578","$2,698",-,"$2,698",-,"$2,682","$6,378","$4,792",988,990,$2.71,$2.71,2014
Mitsubishi UFJ Financial,MUFG,"$79,518.41","$34,576.63","$44,941.78",-,"$30,258.87",-,"$30,258.87","$14,682.91",$-537.2,"$14,145.72","$3,300.56","$10,845.16",-,"$10,845.16",-,"$10,286.39",-,-,"11,960","11,960",$0.86,$0.86,2023
Mitsubishi UFJ Financial,MUFG,"$66,245.41","$17,558.24","$48,687.16",-,"$41,133.76",-,"$41,133.76","$7,553.406","$4,064.043","$11,617.43","$2,735.092","$8,882.338",-,"$8,882.338",-,"$8,262.07",-,-,"12,306","12,306",$0.67,$0.67,2022
Mitsubishi UFJ Financial,MUFG,"$51,419.18","$4,841.217","$46,577.96",-,"$32,892.88",-,"$32,892.873","$13,685.08",$-425.349,"$13,259.73","$2,522.349","$10,737.38",-,"$10,737.38",-,"$10,064.48",-,-,"12,785","12,785",$0.79,$0.78,2021
Mitsubishi UFJ Financial,MUFG,"$54,468.42","$7,272.958","$47,195.46",-,"$37,291.52",-,"$37,291.522","$9,903.941",$-108.805,"$9,795.139","$1,739.639","$8,055.5",-,"$8,055.5",-,"$7,303.969",-,-,"12,844","12,844",$0.57,$0.57,2020
Mitsubishi UFJ Financial,MUFG,"$66,762.63","$17,926.05","$48,836.58",-,"$37,467.5",-,"$37,467.5","$11,369.09","$-3,738.208","$7,630.875","$2,032.271","$5,598.604",-,"$5,598.604",-,"$4,858.989",-,-,"12,897","12,897",$0.38,$0.37,2019
Mitsubishi UFJ Financial,MUFG,"$58,282.04","$16,286.22","$41,995.82",-,"$29,863.41",-,"$29,863.41","$12,132.41","$-1,824.444","$10,307.94","$1,760.112","$8,547.828",-,"$8,547.828",-,"$7,854.201",-,-,"13,042","13,042",$0.60,$0.60,2018
Mitsubishi UFJ Financial,MUFG,"$52,598.19","$10,694.01","$41,904.18",-,"$28,742.42",-,"$28,742.42","$13,161.76",$-477.369,"$12,684.39","$2,820.924","$9,863.466",-,"$9,863.466",-,"$8,906.976",-,-,"13,569","13,569",$0.67,$0.67,2017
Mitsubishi UFJ Financial,MUFG,"$51,382.87","$7,686.725","$43,696.14",-,"$31,585.32",-,"$31,585.325","$12,110.82",$-512.097,"$11,598.73","$3,045.375","$8,553.354",-,"$8,553.354",-,"$8,245.316",-,-,"13,569","13,569",$0.61,$0.61,2016
